,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
topic modeling,0.18,0.16,0.14,0.16,0.12,0.1,0.14,0.21,0.22,0.11
retail store placement,0.26,0.33,0.37,0.14,0.29,0.41,0.3,0.22,0.31,0.48
store placement problem,0.31,0.37,0.42,0.27,0.28,0.42,0.29,0.35,0.33,0.45
syntactic,0.26,-0.07,0.0,-0.12,0.04,-0.07,-0.07,-0.09,-0.08,-0.07
store,0.18,0.24,0.31,0.13,0.19,0.31,0.22,0.2,0.23,0.33
leisure,0.23,0.24,0.08,0.09,0.28,0.11,0.14,0.12,0.12,0.23
heterogeneous urban data,0.58,0.52,0.17,0.18,0.57,0.23,0.26,0.23,0.32,0.35
store placement,0.22,0.26,0.37,0.11,0.2,0.34,0.23,0.18,0.26,0.39
business,0.17,0.4,0.3,0.3,0.24,0.37,0.36,0.38,0.31,0.43
functional region,0.35,0.39,0.3,0.29,0.36,0.26,0.3,0.4,0.33,0.32
