,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
travel,0.27,-0.19,0.06,0.33,0.28,0.34,0.37,0.35,0.26,0.19
traffic,0.28,-0.03,0.24,0.26,0.31,0.44,0.35,0.35,0.31,0.18
urban human mobility,0.33,-0.05,0.31,0.46,0.67,0.44,0.47,0.45,0.33,0.42
mobility,0.29,0.07,0.23,0.18,0.32,0.15,0.22,0.33,0.16,0.26
human mobility,0.27,-0.05,0.31,0.37,0.45,0.33,0.35,0.38,0.3,0.32
bike,0.29,-0.13,0.08,0.11,0.18,0.2,0.25,0.3,0.16,0.07
transit,0.27,-0.04,0.18,0.23,0.27,0.34,0.28,0.28,0.14,0.19
transportation mode recognition,0.3,-0.06,0.32,0.39,0.48,0.42,0.39,0.43,0.32,0.31
trajectory,0.02,0.08,0.3,0.12,0.18,0.05,0.12,0.12,0.24,0.18
human mobility data,0.26,-0.1,0.43,0.41,0.54,0.39,0.44,0.39,0.36,0.33
