,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
smart urban environment,0.35,-0.13,0.19,0.49,0.64,0.47,0.5,0.49,0.33,0.42
urban design problem,0.36,-0.11,0.35,0.5,0.7,0.5,0.56,0.51,0.45,0.43
let spatial agent,0.22,-0.14,0.52,0.36,0.41,0.34,0.39,0.36,0.28,0.31
game,0.27,-0.24,0.09,0.22,0.21,0.34,0.35,0.34,0.2,0.13
interactive machine learning,0.3,-0.13,0.26,0.19,0.4,0.33,0.37,0.36,0.29,0.14
urban aesthetic,0.32,-0.0,0.27,0.32,0.63,0.33,0.35,0.4,0.25,0.32
aesthetic,0.23,0.01,0.26,0.1,0.26,0.09,0.12,0.27,0.16,0.12
present study aim,0.23,-0.28,0.31,0.52,0.55,0.51,0.5,0.44,0.47,0.4
typical spatial behaviour,0.23,-0.02,0.69,0.24,0.46,0.24,0.25,0.36,0.34,0.25
structured simple space,0.22,-0.18,0.44,0.34,0.53,0.37,0.59,0.34,0.39,0.29
