,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
urban planning reform,0.33,0.59,0.31,0.28,0.59,0.5,0.2,0.45,0.57,0.36
expert system,0.32,0.41,0.44,0.38,0.42,0.25,0.3,0.62,0.57,0.57
urban information system,0.47,0.66,0.56,0.53,0.61,0.42,0.28,0.68,0.61,0.58
heterogeneous expert knowledge,0.11,0.34,0.39,0.38,0.4,0.12,0.34,0.52,0.44,0.41
democratic urban land,0.34,0.58,0.24,0.21,0.51,0.5,0.14,0.37,0.45,0.34
expert system approach,0.37,0.47,0.45,0.39,0.51,0.24,0.34,0.68,0.65,0.63
intelligent decision making,0.29,0.36,0.33,0.27,0.34,0.2,0.15,0.48,0.46,0.49
mathematical programming,0.12,0.23,0.51,0.44,0.44,0.05,0.28,0.55,0.35,0.37
expert,0.14,0.2,0.15,0.11,0.26,0.17,0.25,0.39,0.39,0.33
urban land dynamic,0.43,0.65,0.37,0.38,0.64,0.53,0.2,0.44,0.47,0.37
