,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
soundscape,0.03,0.17,0.13,-0.2,0.09,-0.21,-0.15,-0.04,-0.23,-0.12
perception,0.11,0.02,0.35,0.23,0.23,0.17,0.12,0.26,0.24,0.17
street,0.27,-0.28,0.05,0.19,0.2,0.44,0.33,0.31,0.35,0.09
greenery,0.24,0.09,0.09,0.04,0.13,0.02,0.14,0.17,0.08,0.09
public space,0.38,-0.26,0.23,0.48,0.48,0.53,0.77,0.48,0.44,0.35
street greenery,0.37,-0.16,0.1,0.17,0.24,0.35,0.34,0.35,0.32,0.13
human perception,0.15,-0.08,0.36,0.38,0.38,0.33,0.29,0.32,0.34,0.25
perceptual,0.06,0.15,0.4,-0.08,0.1,-0.15,-0.07,0.09,-0.0,0.0
pedestrian,0.38,-0.04,0.09,0.08,0.2,0.26,0.28,0.33,0.22,0.08
street view image,0.31,-0.29,0.24,0.39,0.39,0.49,0.45,0.44,0.44,0.21
