,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
land cover,-0.13,0.1,0.2,0.21,0.48,0.29,0.25,-0.12,0.1,0.35
land cover change,-0.15,0.25,0.24,0.14,0.54,0.27,0.39,-0.05,0.1,0.46
cropland,0.12,-0.02,-0.19,0.3,-0.05,0.04,-0.05,0.02,0.05,-0.14
cover,-0.08,0.09,0.16,0.15,0.37,0.22,0.17,-0.08,0.07,0.31
land cover map,-0.09,0.15,0.23,0.17,0.49,0.29,0.28,-0.05,0.12,0.44
annual,-0.11,0.03,0.21,0.03,0.29,0.18,0.14,-0.12,0.02,0.23
impervious surface,0.04,0.18,0.08,0.19,0.18,0.18,0.21,0.04,0.16,0.17
green area,-0.16,0.1,0.36,0.22,0.42,0.42,0.17,-0.11,0.25,0.42
land use change,-0.17,0.29,0.25,0.08,0.55,0.25,0.45,-0.03,0.12,0.47
annual growth rate,-0.18,0.18,0.24,0.06,0.34,0.22,0.26,-0.07,0.08,0.33
