,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
land cover classification,0.07,0.42,0.14,0.37,-0.16,0.19,0.3,0.41,0.42,0.35
land cover,-0.02,0.45,0.08,0.33,-0.12,0.18,0.31,0.39,0.32,0.27
data weighting method,0.23,0.3,0.12,0.54,0.02,0.15,0.41,0.28,0.3,0.64
urban land cover,-0.0,0.65,0.1,0.4,-0.15,0.17,0.28,0.36,0.35,0.31
optical,0.07,0.04,0.04,0.28,-0.04,0.1,0.22,0.11,0.13,0.34
land cover mapping,0.04,0.49,0.09,0.43,-0.12,0.14,0.33,0.36,0.33,0.42
cover,0.01,0.29,0.13,0.3,-0.05,0.18,0.3,0.38,0.28,0.26
image classification,0.21,0.25,0.32,0.4,-0.12,0.19,0.24,0.36,0.45,0.42
data weighting,0.21,0.25,0.07,0.54,0.04,0.11,0.36,0.19,0.19,0.62
eight machine learning,0.07,0.35,0.21,0.46,-0.08,0.37,0.35,0.59,0.48,0.42
