,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
smart city ecosystem,0.1,0.34,0.22,0.24,-0.08,0.11,0.39,0.47,0.43,0.35
innovation,0.0,0.25,0.1,0.21,-0.05,0.08,0.22,0.31,0.29,0.35
application area,0.16,0.41,0.22,0.29,-0.08,-0.05,0.43,0.51,0.45,0.45
artificial intelligence technology,0.16,0.26,0.22,0.13,-0.15,0.05,0.34,0.37,0.54,0.36
smart city initiative,0.09,0.38,0.32,0.27,-0.18,0.09,0.49,0.46,0.45,0.31
sharing economy,0.16,0.37,0.24,0.33,-0.15,-0.02,0.39,0.43,0.54,0.33
city ecosystem,0.12,0.25,0.19,0.23,-0.0,0.02,0.38,0.45,0.36,0.29
increasingly turning toward,0.14,0.35,0.31,0.27,-0.2,0.09,0.38,0.45,0.42,0.34
turning toward specialized,0.15,0.35,0.29,0.2,-0.25,0.04,0.38,0.44,0.41,0.36
toward specialized technology,0.16,0.39,0.25,0.23,-0.24,0.04,0.42,0.44,0.48,0.41
