,smart infrastructure system,smart infrastructure,infrastructure system,outbreak,smart city network,data sharing,governance,smart,urban governance,air quality
crash,0.15,0.07,0.2,0.2,0.15,0.16,-0.01,-0.0,0.02,0.28
vehicle ownership,0.44,0.37,0.42,0.04,0.41,0.37,0.2,0.27,0.29,0.38
crime,0.26,0.22,0.26,0.18,0.34,0.23,0.13,0.14,0.28,0.22
ownership,0.28,0.21,0.3,0.05,0.29,0.32,0.28,0.11,0.3,0.24
waterlogging,-0.11,-0.09,-0.06,0.07,-0.2,-0.18,0.04,-0.15,0.01,-0.11
opportunistic,0.1,0.11,0.03,0.12,0.06,-0.0,0.05,0.19,-0.01,-0.01
public transportation route,0.53,0.44,0.58,0.14,0.51,0.36,0.18,0.18,0.34,0.44
scale urban problem,0.53,0.47,0.55,0.29,0.46,0.35,0.31,0.23,0.65,0.43
real world data,0.49,0.4,0.47,0.22,0.5,0.66,0.25,0.28,0.35,0.46
game abstraction framework,0.41,0.31,0.4,0.01,0.31,0.39,0.31,0.23,0.3,0.3
