,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
land use category,0.28,0.36,0.21,0.23,0.2,0.36,0.4,-0.04,0.06,0.14
essential urban land,0.23,0.3,0.12,0.27,0.13,0.23,0.35,-0.08,-0.03,0.11
urban functional zone,0.2,0.26,0.24,0.3,0.16,0.27,0.4,0.03,0.11,0.15
urban land use,0.29,0.32,0.18,0.28,0.16,0.26,0.39,-0.07,-0.02,0.14
urban poverty,0.08,0.17,0.09,0.26,0.07,0.08,0.2,-0.02,-0.02,0.03
functional zone classification,0.18,0.25,0.32,0.22,0.16,0.33,0.4,0.14,0.27,0.14
urban functional area,0.2,0.26,0.22,0.26,0.14,0.29,0.43,0.06,0.14,0.14
identify urban poverty,0.11,0.21,0.22,0.27,0.08,0.22,0.32,0.03,0.05,0.08
poverty,0.02,0.16,0.1,0.27,0.05,0.05,0.14,-0.0,0.01,-0.01
urban functional,0.16,0.13,0.19,0.19,0.08,0.27,0.34,0.11,0.21,0.1
