,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
road traffic noise,0.4,-0.04,0.25,0.31,0.37,0.5,0.42,0.46,0.36,0.23
urban form indicator,0.22,-0.08,0.38,0.39,0.76,0.47,0.43,0.37,0.41,0.37
interface network,0.29,-0.06,0.29,0.21,0.41,0.28,0.31,0.35,0.19,0.17
interface network connectivity,0.35,-0.02,0.31,0.18,0.42,0.23,0.29,0.38,0.17,0.17
classical urban design,0.3,-0.08,0.35,0.33,0.66,0.42,0.47,0.4,0.39,0.29
housing estate,0.31,-0.14,0.08,0.48,0.35,0.37,0.36,0.33,0.39,0.39
greenway suitability analysis,0.25,-0.02,0.3,0.21,0.28,0.08,0.11,0.24,0.22,0.19
using network analysis,0.21,-0.19,0.41,0.4,0.55,0.41,0.43,0.36,0.39,0.3
economic assessment using,0.17,-0.19,0.36,0.58,0.51,0.45,0.41,0.37,0.47,0.51
assessment using machine,0.17,-0.21,0.35,0.4,0.45,0.41,0.4,0.32,0.42,0.32
