,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
positive deviance,0.02,0.3,0.1,0.01,0.1,0.09,0.31,0.25,0.05,0.23
urban planning firm,-0.09,0.18,0.27,0.07,0.54,0.25,0.32,-0.11,0.13,0.38
personality,-0.01,0.36,0.12,-0.08,0.22,0.04,0.37,0.19,0.04,0.32
social media data,-0.03,0.4,0.26,-0.05,0.58,0.17,0.55,0.16,0.06,0.52
tweet,0.05,-0.04,-0.09,0.02,-0.07,-0.06,-0.08,0.03,-0.05,-0.09
player,-0.16,0.12,0.11,-0.14,0.23,-0.01,0.18,-0.08,0.01,0.21
input excerpt must,-0.08,0.25,0.11,-0.02,0.32,0.07,0.34,0.19,0.05,0.3
six possible personality,-0.19,0.3,0.24,-0.11,0.47,0.11,0.46,0.03,0.12,0.46
possible personality class,-0.14,0.37,0.24,-0.13,0.47,0.1,0.46,0.1,0.08,0.46
media data analysis,-0.01,0.37,0.22,-0.11,0.51,0.1,0.49,0.15,0.04,0.48
