,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
land cover classification,0.83,0.81,0.15,0.63,0.78,0.31,0.29,0.51,0.71,0.34
land cover,1.0,0.92,0.21,0.76,0.88,0.27,0.27,0.55,0.76,0.33
data weighting method,0.14,0.25,-0.03,0.15,0.23,0.23,0.17,0.14,0.36,0.41
urban land cover,0.9,0.85,0.18,0.65,0.81,0.27,0.29,0.61,0.74,0.39
optical,0.04,0.09,-0.03,0.08,0.11,0.05,0.22,0.1,0.16,0.13
land cover mapping,0.87,0.82,0.15,0.64,0.89,0.25,0.31,0.48,0.72,0.33
cover,0.76,0.71,0.06,1.0,0.65,0.27,0.25,0.4,0.43,0.28
image classification,0.23,0.34,-0.05,0.23,0.35,0.2,0.22,0.24,0.36,0.22
data weighting,0.09,0.17,-0.04,0.1,0.16,0.22,0.09,0.09,0.24,0.39
eight machine learning,0.3,0.38,-0.19,0.28,0.31,0.18,0.08,0.34,0.43,0.3
