,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
traffic,0.31,0.3,0.45,0.13,0.26,0.32,0.24,0.11,0.13,0.34
traffic light control,0.4,0.45,0.59,0.23,0.43,0.5,0.44,0.18,0.2,0.49
road traffic safety,0.38,0.41,0.51,0.15,0.36,0.44,0.32,0.07,0.23,0.37
traffic control,0.42,0.46,0.59,0.24,0.42,0.5,0.37,0.17,0.21,0.48
traffic control system,0.5,0.68,0.76,0.31,0.47,0.69,0.45,0.25,0.25,0.52
routing,0.08,0.1,0.23,-0.0,0.09,0.16,0.12,0.17,-0.11,0.13
light control,0.37,0.45,0.55,0.24,0.44,0.51,0.47,0.19,0.21,0.48
traffic safety,0.36,0.42,0.51,0.21,0.3,0.44,0.32,0.1,0.25,0.32
pedestrian,0.16,0.08,0.23,0.07,0.14,0.14,0.13,0.03,0.02,0.23
congestion,0.28,0.18,0.32,0.04,0.19,0.2,0.09,0.05,0.02,0.28
