,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
carbon emission,0.09,0.14,0.03,0.19,-0.02,0.06,0.22,0.14,0.17,0.24
climate change mitigation,0.19,0.39,0.2,0.4,-0.07,0.1,0.33,0.35,0.32,0.38
emission,0.1,0.08,0.06,0.14,-0.02,0.04,0.2,0.11,0.15,0.19
built environment factor,0.21,0.49,0.32,0.52,-0.11,0.26,0.29,0.51,0.55,0.43
heterogeneous urban environment,0.17,0.55,0.22,0.48,-0.13,0.09,0.22,0.25,0.35,0.39
climate,0.14,0.31,0.2,0.37,-0.12,0.05,0.17,0.28,0.25,0.31
urban data science,0.16,0.65,0.19,0.73,-0.1,0.17,0.35,0.36,0.4,0.7
air quality monitoring,0.15,0.43,0.16,0.51,-0.1,0.22,0.31,0.44,0.37,0.52
air quality,0.14,0.39,0.2,0.41,-0.1,0.27,0.26,0.42,0.39,0.42
carbon,0.06,0.17,-0.0,0.2,-0.02,0.07,0.19,0.14,0.16,0.24
