,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
person detection method,0.27,0.37,-0.05,0.25,0.32,0.17,0.28,0.21,0.48,0.31
freeway,0.14,0.11,0.01,0.07,0.13,0.01,0.1,0.2,0.11,0.03
task scheduling algorithm,0.09,0.19,-0.04,0.08,0.19,0.11,0.13,0.05,0.25,0.15
sustainable smart city,0.36,0.45,0.01,0.21,0.39,0.3,0.1,0.49,0.52,0.42
urban data management,0.41,0.5,-0.03,0.26,0.45,0.31,0.17,0.4,0.55,0.51
smart city application,0.4,0.47,-0.11,0.3,0.43,0.25,0.11,0.46,0.54,0.33
urban freeway corridor,0.32,0.3,0.05,0.17,0.33,0.09,0.17,0.44,0.31,0.2
anomaly detection,0.07,0.15,-0.01,0.08,0.11,0.0,0.24,0.03,0.19,0.14
person detection,0.27,0.35,-0.07,0.25,0.29,0.15,0.25,0.2,0.41,0.27
freeway corridor,0.22,0.17,0.04,0.11,0.23,0.03,0.11,0.32,0.18,0.09
