,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
urban planning reform,0.29,0.31,0.62,0.23,0.36,0.12,0.32,0.46,0.12,0.4
expert system,0.28,0.3,0.44,0.17,0.39,0.17,0.29,0.5,0.12,0.49
urban information system,0.39,0.45,0.65,0.29,0.45,0.19,0.39,0.61,0.11,0.62
heterogeneous expert knowledge,0.16,0.13,0.43,0.24,0.42,0.06,0.09,0.34,0.09,0.5
democratic urban land,0.25,0.26,0.61,0.18,0.36,0.14,0.24,0.39,0.06,0.37
expert system approach,0.3,0.32,0.48,0.21,0.44,0.19,0.27,0.54,0.22,0.52
intelligent decision making,0.32,0.24,0.4,0.17,0.38,0.13,0.2,0.45,0.08,0.44
mathematical programming,0.1,0.11,0.24,0.16,0.24,0.02,0.08,0.28,0.15,0.35
expert,0.21,0.13,0.3,0.06,0.28,0.11,0.08,0.24,0.02,0.3
urban land dynamic,0.25,0.34,0.66,0.3,0.4,0.2,0.28,0.48,0.18,0.44
