,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
park accessibility,0.31,0.35,0.31,0.38,0.21,0.24,0.42,0.22,0.09,0.32
densification,-0.27,-0.15,-0.13,-0.19,-0.03,-0.12,-0.17,-0.1,-0.04,-0.05
spatial pattern metric,0.29,0.24,0.35,0.27,0.19,0.43,0.36,0.25,0.17,0.39
land policy,0.67,0.73,0.38,0.75,0.44,0.26,0.44,0.45,0.35,0.32
mapping urban form,0.53,0.68,0.67,0.7,0.61,0.49,0.73,0.63,0.35,0.73
city block level,0.5,0.53,0.5,0.54,0.41,0.38,0.55,0.44,0.29,0.4
open space area,0.57,0.56,0.55,0.62,0.34,0.42,0.65,0.38,0.17,0.46
park accessibility change,0.45,0.48,0.39,0.5,0.32,0.33,0.49,0.36,0.21,0.41
predict building height,0.44,0.39,0.34,0.41,0.24,0.3,0.39,0.32,0.18,0.3
land readjustment policy,0.5,0.62,0.36,0.61,0.39,0.23,0.39,0.39,0.3,0.35
