,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
road traffic noise,0.39,0.43,0.27,0.18,0.01,-0.08,0.58,0.44,0.36,0.18
urban form indicator,0.07,0.34,0.32,0.24,-0.11,0.02,0.39,0.65,0.5,0.37
interface network,0.09,0.28,0.18,0.18,-0.11,0.09,0.33,0.33,0.42,0.46
interface network connectivity,0.07,0.25,0.14,0.16,-0.06,0.07,0.33,0.34,0.38,0.45
classical urban design,0.11,0.32,0.18,0.23,-0.02,-0.11,0.34,0.62,0.38,0.38
housing estate,0.18,0.39,0.22,0.39,-0.1,-0.1,0.38,0.4,0.39,0.07
greenway suitability analysis,0.1,0.17,0.05,0.16,0.02,-0.05,0.22,0.18,0.23,0.22
using network analysis,0.21,0.39,0.33,0.27,-0.18,0.04,0.47,0.5,0.62,0.44
economic assessment using,0.2,0.35,0.32,0.22,-0.19,0.01,0.44,0.57,0.63,0.47
assessment using machine,0.15,0.39,0.24,0.18,-0.2,-0.01,0.36,0.46,0.55,0.43
