,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
travel,-0.22,0.07,0.15,-0.03,0.37,0.1,0.2,-0.15,0.15,0.25
traffic,-0.13,0.12,0.34,0.06,0.35,0.3,0.21,-0.07,0.53,0.32
urban human mobility,0.01,0.33,0.16,0.11,0.47,0.19,0.66,0.13,0.25,0.31
mobility,0.02,0.21,0.04,0.04,0.19,0.05,0.24,0.16,0.18,0.1
human mobility,-0.06,0.33,0.09,0.01,0.39,0.07,0.73,0.19,0.15,0.25
bike,-0.03,0.04,0.2,0.11,0.2,0.23,0.04,0.04,0.37,0.21
transit,-0.04,0.05,0.19,-0.04,0.32,0.12,0.11,-0.11,0.3,0.19
transportation mode recognition,-0.06,0.31,0.17,-0.02,0.46,0.11,0.38,0.11,0.24,0.38
trajectory,-0.06,0.07,0.05,0.01,0.13,0.04,0.07,0.11,0.06,0.16
human mobility data,-0.04,0.36,0.16,-0.02,0.5,0.11,0.7,0.21,0.13,0.37
