,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
stream water quality,0.12,0.31,0.18,0.22,-0.03,-0.05,0.42,0.47,0.45,0.33
carbon sequestration potential,0.1,0.25,0.22,0.16,0.04,0.07,0.2,0.32,0.31,0.22
flood,0.16,0.14,0.2,0.08,0.19,-0.0,0.19,0.33,0.21,0.06
complexity science research,0.12,0.21,0.27,0.13,-0.1,-0.0,0.29,0.47,0.49,0.38
automata,-0.09,-0.04,-0.13,-0.06,0.07,0.01,-0.07,-0.01,-0.1,0.12
land use change,0.22,0.57,0.29,0.51,-0.08,0.04,0.51,0.59,0.56,0.39
mosquito,-0.05,0.04,0.08,0.03,0.1,0.19,0.02,0.11,0.01,-0.03
analog,-0.01,0.1,-0.02,0.11,0.03,-0.01,0.05,0.1,0.21,0.21
cellular automata,0.0,0.13,-0.01,0.08,0.02,0.05,0.06,0.11,0.1,0.18
urban land growth,0.17,0.49,0.31,0.42,-0.06,-0.02,0.46,0.7,0.51,0.28
