,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
signal,0.27,0.18,0.08,0.32,0.04,0.13,0.42,0.28,0.29,0.37
positioning,-0.02,0.19,0.12,0.26,-0.0,0.12,0.17,0.18,0.18,0.32
positioning accuracy,0.05,0.17,0.16,0.32,0.01,0.15,0.24,0.24,0.23,0.41
multipath,0.17,-0.19,-0.01,-0.09,0.12,-0.06,-0.01,-0.15,-0.08,-0.11
path loss,0.14,0.27,0.1,0.31,-0.08,0.25,0.26,0.42,0.36,0.28
localization,0.11,0.07,-0.04,0.08,0.06,0.02,0.11,-0.05,-0.01,0.15
positioning performance,0.19,0.31,0.27,0.43,-0.03,0.31,0.3,0.38,0.38,0.47
receiver,-0.01,0.02,0.09,0.1,-0.04,0.39,0.21,0.17,0.18,0.12
reception,0.21,0.11,0.11,0.21,-0.07,0.07,0.11,0.16,0.12,0.2
fingerprint,0.06,0.02,0.1,0.2,0.01,0.02,0.17,0.07,0.06,0.3
