,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
park accessibility,0.35,0.36,0.22,0.27,0.3,0.32,0.23,0.23,0.23,0.22
densification,-0.13,-0.11,-0.14,-0.24,-0.13,-0.0,0.01,-0.28,-0.02,-0.18
spatial pattern metric,0.19,0.35,0.52,0.09,0.26,0.27,0.26,0.31,0.69,0.44
land policy,0.49,0.5,0.36,0.22,0.19,0.32,0.1,0.52,0.24,0.34
mapping urban form,0.64,0.7,0.41,0.21,0.4,0.63,0.26,0.55,0.46,0.53
city block level,0.47,0.5,0.34,0.34,0.33,0.33,0.09,0.51,0.24,0.37
open space area,0.5,0.56,0.39,0.35,0.37,0.35,0.12,0.5,0.25,0.59
park accessibility change,0.49,0.51,0.36,0.34,0.36,0.4,0.27,0.44,0.36,0.34
predict building height,0.33,0.45,0.28,0.2,0.29,0.25,0.16,0.47,0.34,0.39
land readjustment policy,0.42,0.43,0.31,0.13,0.14,0.32,0.12,0.4,0.25,0.29
