,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
binary urban footprint,1.0,0.49,0.22,0.13,0.79,0.19,0.3,0.17,0.24,0.3
urban land expansion,0.49,1.0,0.42,0.37,0.64,0.65,0.71,0.42,0.29,0.73
building height,0.22,0.42,1.0,0.29,0.3,0.39,0.36,0.41,0.37,0.51
driving force,0.13,0.37,0.29,1.0,0.18,0.41,0.29,0.9,0.32,0.4
urban footprint,0.79,0.64,0.3,0.18,1.0,0.28,0.33,0.23,0.24,0.41
land price,0.19,0.65,0.39,0.41,0.28,1.0,0.35,0.44,0.41,0.89
expansion,0.3,0.71,0.36,0.29,0.33,0.35,1.0,0.32,0.19,0.4
main driving force,0.17,0.42,0.41,0.9,0.23,0.44,0.32,1.0,0.39,0.47
body mass index,0.24,0.29,0.37,0.32,0.24,0.41,0.19,0.39,1.0,0.37
residential land price,0.3,0.73,0.51,0.4,0.41,0.89,0.4,0.47,0.37,1.0
