,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
crash,-0.03,0.14,0.18,0.37,0.01,0.23,0.07,0.34,0.25,0.21
vehicle ownership,0.26,0.49,0.4,0.49,0.29,0.53,0.31,0.49,0.32,0.56
crime,0.12,0.26,0.14,0.33,0.23,0.24,0.11,0.32,0.26,0.24
ownership,0.17,0.46,0.3,0.2,0.21,0.48,0.32,0.21,0.18,0.47
waterlogging,-0.03,-0.06,-0.1,-0.15,0.03,-0.11,-0.15,-0.17,-0.19,-0.14
opportunistic,0.0,-0.01,-0.12,-0.01,-0.06,0.0,0.07,-0.03,-0.07,-0.0
public transportation route,0.2,0.47,0.33,0.38,0.28,0.4,0.32,0.47,0.33,0.46
scale urban problem,0.53,0.69,0.43,0.4,0.62,0.44,0.39,0.46,0.37,0.51
real world data,0.31,0.43,0.35,0.37,0.29,0.45,0.32,0.44,0.46,0.45
game abstraction framework,0.26,0.3,0.26,0.24,0.18,0.24,0.3,0.28,0.25,0.24
