,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
topic modeling,0.18,0.15,0.26,0.13,0.25,0.1,0.04,0.32,0.21,0.35
retail store placement,0.25,0.24,0.23,0.13,0.15,0.21,0.13,0.3,0.07,0.3
store placement problem,0.25,0.33,0.34,0.2,0.29,0.22,0.18,0.4,0.13,0.41
syntactic,-0.13,-0.02,0.03,0.06,0.06,-0.15,-0.07,0.07,0.03,0.08
store,0.19,0.24,0.13,0.02,0.08,0.24,0.13,0.17,-0.04,0.19
leisure,0.43,0.2,0.24,0.22,0.16,0.2,0.15,0.15,-0.02,0.17
heterogeneous urban data,0.16,0.33,0.59,0.32,0.38,0.12,0.25,0.42,0.17,0.63
store placement,0.19,0.2,0.18,0.12,0.15,0.21,0.12,0.3,0.1,0.27
business,0.44,0.3,0.31,0.14,0.25,0.13,0.17,0.38,0.05,0.35
functional region,0.23,0.23,0.46,0.28,0.4,0.09,0.21,0.42,0.11,0.42
