,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
landscape pattern,0.08,0.2,0.21,0.19,-0.03,0.05,0.25,0.46,0.27,0.39
land cover pattern,0.22,0.47,0.3,0.4,-0.05,0.04,0.39,0.55,0.42,0.36
urban greenness space,0.07,0.27,0.19,0.16,0.0,-0.04,0.3,0.58,0.36,0.24
landscape,0.06,0.16,0.11,0.15,-0.01,-0.05,0.23,0.37,0.21,0.3
various land cover,0.22,0.5,0.28,0.42,-0.06,-0.01,0.45,0.52,0.47,0.32
dust,0.16,0.11,0.1,0.02,0.07,-0.05,0.06,0.24,0.19,0.13
sediment yield,0.04,0.13,0.04,0.1,0.13,0.01,0.13,0.22,0.2,0.21
urban greenness,-0.08,0.1,0.16,0.07,0.11,-0.02,0.14,0.48,0.11,0.1
sediment,0.0,0.02,-0.02,0.05,0.22,-0.01,0.05,0.15,0.04,0.16
watershed soil erosion,0.07,0.16,0.17,0.18,0.26,0.04,0.17,0.37,0.18,0.21
