,traffic,traffic light control,road traffic safety,traffic control,traffic control system,routing,light control,traffic safety,pedestrian,congestion
park accessibility,0.28,0.26,0.42,0.26,0.28,0.09,0.18,0.35,0.38,0.27
densification,-0.03,-0.21,-0.09,-0.12,-0.14,0.01,-0.28,-0.07,-0.04,0.15
spatial pattern metric,0.24,0.34,0.17,0.27,0.31,0.2,0.32,0.21,0.09,0.16
land policy,0.26,0.45,0.37,0.44,0.49,0.08,0.47,0.33,0.08,0.14
mapping urban form,0.31,0.42,0.33,0.4,0.48,0.2,0.39,0.29,0.2,0.27
city block level,0.44,0.56,0.51,0.54,0.57,0.09,0.51,0.46,0.26,0.24
open space area,0.35,0.5,0.43,0.46,0.49,0.12,0.49,0.39,0.28,0.17
park accessibility change,0.35,0.41,0.48,0.38,0.43,0.14,0.36,0.43,0.33,0.31
predict building height,0.31,0.45,0.36,0.42,0.45,0.03,0.44,0.33,0.22,0.13
land readjustment policy,0.18,0.33,0.27,0.34,0.37,0.11,0.35,0.25,0.08,0.15
