,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
smart city ecosystem,0.23,0.31,0.36,-0.11,0.33,0.21,0.46,0.28,0.42,0.38
innovation,0.27,0.26,0.24,0.04,0.13,0.21,0.3,0.19,0.41,0.27
application area,0.38,0.39,0.52,0.01,0.32,0.17,0.48,0.4,0.4,0.53
artificial intelligence technology,0.38,0.3,0.4,0.05,0.2,0.11,0.41,0.31,0.39,0.36
smart city initiative,0.19,0.31,0.39,-0.2,0.28,0.17,0.37,0.29,0.44,0.3
sharing economy,0.28,0.3,0.35,-0.08,0.2,0.16,0.38,0.2,0.52,0.32
city ecosystem,0.16,0.2,0.24,-0.08,0.24,0.17,0.44,0.16,0.31,0.39
increasingly turning toward,0.26,0.2,0.33,-0.09,0.15,0.11,0.27,0.18,0.42,0.33
turning toward specialized,0.31,0.3,0.42,-0.03,0.21,0.13,0.28,0.3,0.42,0.38
toward specialized technology,0.38,0.38,0.47,-0.03,0.23,0.2,0.41,0.38,0.52,0.42
