,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
crash,0.09,0.06,0.15,-0.13,0.05,-0.02,0.05,0.07,0.16,0.13
vehicle ownership,0.13,0.34,0.39,-0.04,0.27,0.2,0.32,0.32,0.41,0.28
crime,0.22,0.15,0.28,-0.03,0.11,0.04,0.25,0.13,0.25,0.19
ownership,0.08,0.25,0.29,0.04,0.18,0.17,0.25,0.22,0.36,0.19
waterlogging,-0.02,-0.19,-0.08,0.21,-0.15,-0.09,-0.07,-0.15,-0.23,-0.08
opportunistic,0.01,-0.03,0.01,0.05,-0.06,-0.0,0.05,-0.03,0.05,-0.05
public transportation route,0.2,0.3,0.35,-0.12,0.21,0.25,0.32,0.26,0.45,0.32
scale urban problem,0.36,0.31,0.55,0.04,0.22,0.14,0.57,0.26,0.39,0.5
real world data,0.4,0.41,0.47,-0.03,0.33,0.2,0.57,0.33,0.51,0.31
game abstraction framework,0.4,0.22,0.34,0.22,0.13,0.03,0.35,0.23,0.27,0.35
