,signal,positioning,positioning accuracy,multipath,path loss,localization,positioning performance,receiver,reception,fingerprint
land cover classification,0.15,0.12,0.2,-0.08,0.26,0.0,0.27,0.11,0.1,0.08
land cover,0.11,0.09,0.15,-0.16,0.3,-0.09,0.19,0.12,0.06,-0.02
data weighting method,0.34,0.37,0.47,0.05,0.25,0.21,0.47,0.12,0.06,0.26
urban land cover,0.12,0.08,0.12,-0.12,0.31,-0.03,0.19,0.1,0.09,-0.03
optical,0.36,0.34,0.35,0.14,0.19,0.25,0.31,0.2,0.05,0.28
land cover mapping,0.18,0.26,0.3,-0.13,0.3,0.1,0.29,0.1,0.02,0.12
cover,0.07,0.04,0.11,-0.07,0.2,-0.08,0.19,0.14,0.07,0.05
image classification,0.25,0.23,0.29,0.07,0.2,0.15,0.38,0.07,0.16,0.29
data weighting,0.32,0.33,0.4,0.03,0.17,0.17,0.42,0.11,0.07,0.26
eight machine learning,0.27,0.22,0.28,-0.11,0.37,0.02,0.39,0.13,0.16,0.05
