,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
positive deviance,0.09,0.04,0.12,0.16,0.05,0.14,0.17,0.12,-0.0,0.09
urban planning firm,0.8,0.46,0.68,0.36,0.65,0.53,0.47,0.22,0.34,0.66
personality,0.11,0.21,0.18,0.32,0.12,0.31,0.31,0.28,0.17,0.21
social media data,0.52,0.55,0.72,0.5,0.45,0.59,0.47,0.43,0.32,0.47
tweet,-0.16,-0.15,-0.1,-0.12,-0.18,-0.14,0.01,-0.12,-0.15,-0.18
player,0.11,0.28,0.25,0.17,0.15,0.3,0.37,0.16,0.17,0.23
input excerpt must,0.27,0.33,0.43,0.34,0.24,0.37,0.43,0.29,0.17,0.3
six possible personality,0.35,0.41,0.44,0.34,0.36,0.51,0.56,0.31,0.24,0.36
possible personality class,0.37,0.43,0.49,0.39,0.37,0.52,0.54,0.36,0.24,0.42
media data analysis,0.4,0.55,0.66,0.54,0.31,0.6,0.44,0.47,0.38,0.38
