,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
road traffic noise,0.27,0.41,0.36,0.47,0.34,0.32,0.24,0.53,0.22,0.39
urban form indicator,0.53,0.59,0.33,0.31,0.57,0.37,0.3,0.42,0.49,0.46
interface network,0.45,0.29,0.18,0.17,0.33,0.14,0.25,0.26,0.24,0.2
interface network connectivity,0.47,0.29,0.16,0.13,0.38,0.14,0.25,0.21,0.22,0.21
classical urban design,0.48,0.55,0.42,0.26,0.56,0.26,0.3,0.35,0.28,0.38
housing estate,0.19,0.56,0.4,0.25,0.32,0.51,0.31,0.29,0.25,0.68
greenway suitability analysis,0.23,0.17,0.15,0.03,0.19,0.13,0.14,0.06,0.07,0.15
using network analysis,0.43,0.37,0.32,0.35,0.35,0.31,0.3,0.42,0.41,0.32
economic assessment using,0.28,0.47,0.35,0.44,0.3,0.4,0.43,0.48,0.43,0.41
assessment using machine,0.29,0.33,0.35,0.42,0.22,0.33,0.27,0.45,0.37,0.33
