,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
person detection method,0.22,0.26,0.28,0.44,0.01,0.25,0.39,0.5,0.52,0.5
freeway,-0.01,0.15,-0.01,0.05,-0.02,-0.0,-0.0,0.04,0.09,0.07
task scheduling algorithm,0.08,0.24,0.11,0.31,-0.05,0.13,0.36,0.27,0.3,0.35
sustainable smart city,0.11,0.61,0.18,0.41,-0.06,0.22,0.28,0.39,0.39,0.33
urban data management,0.15,0.76,0.16,0.74,-0.13,0.21,0.37,0.35,0.38,0.73
smart city application,0.07,0.56,0.26,0.49,-0.04,0.32,0.37,0.47,0.48,0.46
urban freeway corridor,-0.02,0.47,-0.0,0.22,-0.15,0.02,0.07,0.12,0.19,0.19
anomaly detection,0.19,0.01,0.16,0.23,0.03,0.02,0.13,0.22,0.24,0.32
person detection,0.2,0.2,0.3,0.4,0.02,0.25,0.34,0.51,0.5,0.44
freeway corridor,-0.04,0.22,-0.05,0.09,-0.12,-0.03,0.02,0.07,0.11,0.11
