,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
smart urban environment,0.07,0.36,0.31,0.23,-0.11,0.07,0.41,0.64,0.46,0.36
urban design problem,0.18,0.42,0.35,0.3,0.0,-0.02,0.45,0.82,0.49,0.42
let spatial agent,0.09,0.25,0.2,0.21,-0.12,0.05,0.25,0.37,0.46,0.38
game,0.18,0.19,0.17,0.16,-0.22,0.08,0.17,0.26,0.4,0.61
interactive machine learning,0.12,0.29,0.14,0.17,-0.18,-0.06,0.25,0.33,0.45,0.43
urban aesthetic,0.01,0.23,0.22,0.17,0.0,0.02,0.26,0.61,0.27,0.34
aesthetic,-0.03,0.1,0.03,0.06,0.02,0.08,0.04,0.23,0.12,0.36
present study aim,0.19,0.35,0.33,0.29,-0.17,-0.02,0.44,0.54,0.57,0.42
typical spatial behaviour,0.03,0.21,0.18,0.15,0.01,0.18,0.17,0.43,0.33,0.4
structured simple space,0.12,0.36,0.19,0.21,-0.13,0.05,0.34,0.48,0.51,0.48
