,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
soundscape,0.15,-0.04,-0.22,-0.18,0.16,-0.22,-0.07,-0.24,-0.18,-0.19
perception,0.22,0.16,0.16,0.21,0.23,0.15,0.12,0.22,0.25,0.09
street,0.02,0.24,0.35,0.25,0.12,0.25,0.19,0.34,0.25,0.34
greenery,0.22,0.15,0.15,-0.15,0.27,0.1,-0.07,-0.12,-0.04,0.18
public space,0.3,0.5,0.46,0.33,0.36,0.42,0.35,0.41,0.37,0.47
street greenery,0.16,0.29,0.36,0.1,0.27,0.26,0.1,0.19,0.17,0.37
human perception,0.25,0.29,0.26,0.27,0.28,0.26,0.2,0.31,0.43,0.2
perceptual,0.2,-0.11,-0.04,-0.07,0.08,-0.13,-0.1,-0.08,0.0,-0.17
pedestrian,0.18,0.22,0.27,0.12,0.28,0.04,0.11,0.19,0.05,0.18
street view image,0.24,0.35,0.43,0.33,0.28,0.35,0.27,0.41,0.36,0.37
