,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
travel,0.35,0.24,0.21,0.2,0.2,0.25,0.14,0.31,0.32,0.23
traffic,0.84,0.31,0.35,0.35,0.27,0.18,0.14,0.35,0.28,0.25
urban human mobility,0.38,0.63,0.39,0.43,0.55,0.31,0.24,0.48,0.49,0.38
mobility,0.21,0.28,0.29,0.4,0.21,0.08,0.19,0.26,0.25,0.19
human mobility,0.28,0.4,0.34,0.39,0.29,0.13,0.24,0.45,0.45,0.37
bike,0.36,0.14,0.14,0.16,0.24,0.11,0.07,0.15,0.08,0.19
transit,0.37,0.24,0.27,0.27,0.22,0.16,0.13,0.32,0.23,0.18
transportation mode recognition,0.42,0.45,0.47,0.49,0.43,0.25,0.22,0.52,0.52,0.51
trajectory,0.1,0.17,0.05,0.05,0.15,0.04,0.21,0.16,0.23,0.17
human mobility data,0.34,0.5,0.47,0.5,0.34,0.21,0.36,0.63,0.61,0.52
