,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
topic modeling,0.14,0.26,0.31,0.29,0.37,0.11,0.29,0.45,0.4,0.36
retail store placement,0.18,0.37,0.28,0.25,0.32,0.4,0.12,0.34,0.29,0.32
store placement problem,0.32,0.4,0.35,0.33,0.39,0.34,0.17,0.48,0.4,0.47
syntactic,-0.04,0.05,0.13,0.16,0.04,-0.09,0.22,0.11,-0.0,0.05
store,0.22,0.2,0.21,0.17,0.21,0.24,-0.03,0.24,0.14,0.26
leisure,0.17,0.28,0.12,0.14,0.23,0.28,0.1,0.09,0.08,0.02
heterogeneous urban data,0.31,0.63,0.49,0.51,0.55,0.33,0.33,0.55,0.47,0.41
store placement,0.17,0.27,0.28,0.25,0.3,0.28,0.12,0.34,0.24,0.35
business,0.27,0.35,0.3,0.28,0.31,0.44,0.14,0.46,0.5,0.4
functional region,0.25,0.46,0.34,0.38,0.39,0.17,0.22,0.41,0.47,0.38
