,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
topic modeling,0.02,0.31,0.04,-0.06,0.31,-0.01,0.34,0.16,-0.0,0.25
retail store placement,-0.1,0.14,0.34,0.08,0.39,0.32,0.15,-0.02,0.2,0.37
store placement problem,-0.16,0.29,0.29,0.03,0.46,0.25,0.33,0.02,0.16,0.45
syntactic,0.08,0.15,-0.18,0.13,-0.06,-0.05,0.11,0.45,0.02,-0.08
store,-0.09,0.07,0.37,0.04,0.32,0.31,0.11,-0.03,0.19,0.37
leisure,0.03,0.06,0.07,0.15,0.32,0.15,0.05,0.08,0.22,0.12
heterogeneous urban data,0.17,0.27,0.14,0.1,0.42,0.17,0.33,0.16,0.21,0.29
store placement,-0.08,0.13,0.29,0.08,0.36,0.28,0.15,-0.01,0.18,0.35
business,-0.17,0.22,0.37,-0.11,0.44,0.21,0.28,-0.09,0.03,0.46
functional region,-0.04,0.27,0.07,0.01,0.31,0.06,0.38,0.19,0.13,0.27
