,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
binary urban footprint,0.1,0.2,0.48,0.25,0.28,0.12,0.16,0.35,0.16,0.37
urban land expansion,0.29,0.33,0.63,0.26,0.36,0.15,0.35,0.42,0.12,0.39
building height,0.22,0.28,0.32,0.17,0.27,0.17,0.16,0.3,0.13,0.28
driving force,0.31,0.44,0.36,0.31,0.34,0.22,0.19,0.37,0.13,0.35
urban footprint,0.17,0.26,0.63,0.33,0.36,0.21,0.23,0.31,0.1,0.37
land price,0.29,0.25,0.34,0.14,0.26,0.17,0.2,0.32,0.13,0.33
expansion,0.23,0.2,0.33,0.18,0.24,-0.02,0.29,0.34,0.15,0.29
main driving force,0.33,0.48,0.39,0.25,0.35,0.23,0.26,0.42,0.12,0.37
body mass index,0.25,0.23,0.4,0.18,0.4,0.14,0.19,0.33,0.16,0.48
residential land price,0.31,0.31,0.41,0.16,0.25,0.19,0.25,0.36,0.13,0.33
