,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
carbon emission,0.36,0.21,0.18,0.2,0.36,0.23,0.2,0.21,0.25,0.24
climate change mitigation,0.29,0.38,0.22,0.25,0.38,0.33,0.29,0.28,0.2,0.29
emission,0.28,0.19,0.1,0.17,0.27,0.18,0.21,0.17,0.19,0.2
built environment factor,0.33,0.55,0.54,0.43,0.39,0.43,0.44,0.52,0.34,0.49
heterogeneous urban environment,0.55,0.58,0.18,0.18,0.64,0.23,0.25,0.22,0.22,0.35
climate,0.19,0.32,0.17,0.19,0.3,0.26,0.23,0.23,0.21,0.22
urban data science,0.51,0.61,0.32,0.27,0.56,0.36,0.35,0.35,0.41,0.44
air quality monitoring,0.27,0.37,0.32,0.49,0.33,0.4,0.25,0.5,0.36,0.41
air quality,0.23,0.37,0.32,0.5,0.31,0.41,0.22,0.5,0.32,0.41
carbon,0.37,0.2,0.22,0.2,0.39,0.22,0.15,0.2,0.27,0.24
