,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
aerial,0.26,0.27,0.19,0.26,0.25,0.39,0.21,0.17,0.12,0.24
point cloud,0.36,0.38,0.31,0.33,0.15,0.42,0.35,0.26,0.25,0.35
detection,0.21,0.12,0.43,0.11,0.42,0.27,0.14,0.26,0.33,0.23
deep,0.25,0.33,0.11,0.32,0.07,0.34,0.28,0.1,0.07,0.29
cloud,0.24,0.26,0.2,0.22,0.15,0.29,0.32,0.19,0.18,0.18
object,0.29,0.23,0.38,0.21,0.32,0.32,0.19,0.37,0.28,0.3
building detection,0.34,0.31,0.4,0.32,0.38,0.38,0.24,0.3,0.29,0.43
segmentation,0.01,-0.12,0.27,-0.11,0.16,0.02,-0.08,0.28,0.23,-0.05
semantic segmentation,0.09,-0.08,0.33,-0.08,0.24,0.12,-0.05,0.36,0.29,0.03
airborne,0.12,0.13,0.11,0.12,0.12,0.17,0.12,0.05,0.1,0.17
