,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
landscape pattern,0.3,0.23,0.31,0.11,0.12,0.1,0.36,0.22,0.27,0.37
land cover pattern,0.25,0.3,0.45,0.03,0.24,0.11,0.34,0.31,0.37,0.39
urban greenness space,0.22,0.28,0.3,0.06,0.2,0.33,0.57,0.23,0.21,0.34
landscape,0.25,0.2,0.2,0.01,0.09,0.13,0.31,0.17,0.22,0.27
various land cover,0.26,0.33,0.44,-0.02,0.28,0.15,0.35,0.33,0.42,0.37
dust,0.13,0.03,0.15,-0.0,0.12,-0.01,0.17,0.05,0.07,0.12
sediment yield,0.16,0.13,0.19,0.13,0.07,0.0,0.28,0.14,0.02,0.25
urban greenness,0.1,0.1,0.08,0.08,-0.01,0.21,0.5,0.03,0.03,0.22
sediment,0.1,-0.0,0.09,0.24,0.02,0.0,0.25,0.05,-0.06,0.17
watershed soil erosion,0.14,0.06,0.18,0.14,0.02,0.02,0.28,0.07,0.09,0.3
