,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
crash,0.22,0.14,0.1,0.17,0.05,0.1,0.11,0.14,0.05,0.03
vehicle ownership,0.55,0.5,0.35,0.53,0.22,0.32,0.37,0.3,0.12,0.32
crime,0.3,0.31,0.24,0.33,0.43,0.16,0.27,0.49,0.42,0.24
ownership,0.44,0.44,0.23,0.46,0.18,0.2,0.27,0.21,0.11,0.23
waterlogging,-0.12,-0.04,-0.06,-0.04,0.01,-0.07,-0.04,-0.02,0.03,-0.02
opportunistic,0.0,-0.04,-0.06,-0.01,-0.01,-0.0,-0.07,0.05,0.03,-0.05
public transportation route,0.46,0.49,0.33,0.52,0.3,0.25,0.42,0.34,0.16,0.32
scale urban problem,0.56,0.7,0.65,0.72,0.71,0.42,0.71,0.72,0.5,0.68
real world data,0.54,0.46,0.36,0.49,0.36,0.34,0.38,0.43,0.3,0.31
game abstraction framework,0.35,0.34,0.39,0.32,0.23,0.42,0.37,0.26,0.2,0.36
