,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
urban planning reform,0.18,0.46,0.14,0.49,0.61,0.36,0.64,0.39,0.33,0.18
expert system,0.19,0.41,0.14,0.45,0.36,0.38,0.54,0.52,0.4,0.2
urban information system,0.26,0.45,0.2,0.58,0.65,0.38,0.79,0.59,0.5,0.26
heterogeneous expert knowledge,0.11,0.31,0.07,0.34,0.59,0.31,0.5,0.31,0.24,0.12
democratic urban land,0.15,0.37,0.11,0.49,0.56,0.32,0.55,0.36,0.35,0.16
expert system approach,0.23,0.49,0.18,0.5,0.4,0.42,0.56,0.55,0.44,0.24
intelligent decision making,0.17,0.35,0.12,0.47,0.31,0.25,0.42,0.42,0.39,0.2
mathematical programming,0.06,0.14,0.07,0.27,0.25,0.1,0.44,0.21,0.21,0.04
expert,0.02,0.28,-0.01,0.2,0.19,0.29,0.36,0.31,0.21,0.05
urban land dynamic,0.23,0.43,0.18,0.58,0.72,0.36,0.64,0.4,0.4,0.23
