,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
smart urban environment,0.31,0.37,0.42,-0.05,0.27,0.3,0.61,0.3,0.45,0.39
urban design problem,0.42,0.38,0.61,0.01,0.28,0.2,0.6,0.34,0.44,0.47
let spatial agent,0.36,0.28,0.44,0.18,0.26,0.12,0.34,0.32,0.27,0.3
game,0.17,0.23,0.3,-0.07,0.23,0.11,0.13,0.22,0.24,0.15
interactive machine learning,0.42,0.37,0.43,0.06,0.28,0.25,0.36,0.37,0.41,0.29
urban aesthetic,0.25,0.22,0.26,0.11,0.13,0.3,0.54,0.16,0.23,0.39
aesthetic,0.23,0.1,0.14,0.2,0.06,0.19,0.2,0.1,0.1,0.27
present study aim,0.39,0.29,0.45,-0.03,0.18,0.12,0.41,0.29,0.42,0.48
typical spatial behaviour,0.38,0.27,0.39,0.32,0.15,0.21,0.45,0.29,0.21,0.39
structured simple space,0.42,0.37,0.49,0.18,0.28,0.26,0.48,0.38,0.37,0.4
