,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
carbon emission,0.11,0.03,0.33,0.2,0.24,0.2,0.17,0.23,0.22,0.15
climate change mitigation,0.23,-0.06,0.3,0.47,0.38,0.27,0.28,0.51,0.36,0.38
emission,0.08,0.08,0.31,0.16,0.18,0.13,0.12,0.18,0.16,0.11
built environment factor,0.4,-0.19,0.28,0.48,0.46,0.53,0.54,0.54,0.56,0.36
heterogeneous urban environment,0.35,0.04,0.27,0.37,0.67,0.33,0.41,0.44,0.22,0.33
climate,0.16,-0.07,0.23,0.38,0.31,0.23,0.28,0.39,0.3,0.25
urban data science,0.3,-0.15,0.33,0.46,0.71,0.49,0.55,0.42,0.39,0.35
air quality monitoring,0.31,-0.13,0.29,0.39,0.42,0.46,0.46,0.42,0.34,0.29
air quality,0.29,-0.12,0.24,0.35,0.37,0.44,0.46,0.39,0.31,0.26
carbon,0.11,-0.03,0.29,0.2,0.26,0.23,0.18,0.23,0.25,0.15
