,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
smart urban environment,0.39,0.5,0.01,0.26,0.4,0.2,0.22,0.46,0.53,0.37
urban design problem,0.44,0.55,-0.05,0.34,0.47,0.22,0.25,0.48,0.58,0.38
let spatial agent,0.36,0.45,-0.05,0.3,0.41,0.04,0.14,0.28,0.49,0.17
game,0.23,0.3,-0.1,0.19,0.25,0.21,0.07,0.32,0.32,0.23
interactive machine learning,0.2,0.27,-0.22,0.19,0.28,0.14,0.11,0.22,0.34,0.2
urban aesthetic,0.28,0.34,0.02,0.19,0.26,0.1,0.24,0.35,0.36,0.23
aesthetic,0.06,0.13,-0.03,0.09,0.04,-0.01,0.17,0.09,0.16,0.04
present study aim,0.4,0.55,-0.09,0.32,0.47,0.39,0.13,0.38,0.6,0.51
typical spatial behaviour,0.17,0.3,-0.07,0.16,0.25,0.12,0.21,0.2,0.35,0.23
structured simple space,0.4,0.46,-0.06,0.34,0.43,0.17,0.25,0.3,0.48,0.26
