,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
land cover,0.23,0.5,0.25,0.42,-0.04,-0.03,0.4,0.48,0.4,0.25
land cover change,0.25,0.54,0.29,0.46,-0.08,0.0,0.45,0.56,0.51,0.35
cropland,-0.05,0.03,-0.2,0.05,0.32,0.06,-0.04,0.02,-0.13,-0.04
cover,0.18,0.26,0.23,0.14,-0.09,-0.04,0.27,0.33,0.29,0.21
land cover map,0.23,0.45,0.25,0.35,-0.06,-0.08,0.44,0.52,0.46,0.33
annual,0.05,0.19,0.17,0.12,-0.1,0.0,0.27,0.25,0.36,0.19
impervious surface,0.11,0.09,0.1,0.01,0.15,0.12,0.11,0.25,0.16,0.17
green area,0.19,0.33,0.18,0.21,-0.15,-0.08,0.44,0.45,0.32,0.25
land use change,0.22,0.57,0.29,0.51,-0.08,0.04,0.51,0.59,0.56,0.39
annual growth rate,0.13,0.32,0.28,0.23,-0.16,0.04,0.33,0.43,0.52,0.27
