,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
land cover classification,0.26,0.36,0.21,0.25,0.24,0.29,0.34,0.01,0.09,0.12
land cover,0.27,0.38,0.12,0.33,0.26,0.23,0.31,-0.12,-0.08,0.13
data weighting method,0.19,0.31,0.43,0.11,0.2,0.38,0.4,0.27,0.33,0.11
urban land cover,0.26,0.33,0.11,0.32,0.22,0.21,0.32,-0.11,-0.08,0.12
optical,0.25,0.15,0.42,0.07,0.15,0.32,0.38,0.16,0.24,0.12
land cover mapping,0.39,0.42,0.27,0.34,0.29,0.32,0.38,0.02,0.12,0.17
cover,0.21,0.35,0.14,0.28,0.32,0.19,0.24,-0.08,-0.05,0.12
image classification,0.17,0.26,0.26,0.1,0.19,0.37,0.3,0.28,0.36,0.05
data weighting,0.12,0.25,0.33,0.07,0.18,0.28,0.29,0.23,0.29,0.1
eight machine learning,0.24,0.35,0.23,0.29,0.18,0.3,0.43,-0.05,0.03,0.17
