,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
carbon emission,0.26,0.26,0.17,0.19,0.18,0.11,0.15,0.28,0.29,0.27
climate change mitigation,0.28,0.37,0.22,0.23,0.29,0.23,0.23,0.36,0.51,0.31
emission,0.26,0.19,0.15,0.16,0.15,0.06,0.14,0.2,0.24,0.24
built environment factor,0.44,0.52,0.39,0.38,0.52,0.45,0.22,0.48,0.56,0.47
heterogeneous urban environment,0.29,0.61,0.41,0.43,0.59,0.33,0.21,0.38,0.42,0.3
climate,0.2,0.34,0.18,0.19,0.23,0.19,0.14,0.27,0.46,0.25
urban data science,0.36,0.66,0.46,0.44,0.64,0.4,0.3,0.62,0.6,0.51
air quality monitoring,0.48,0.43,0.42,0.41,0.36,0.23,0.29,0.56,0.54,0.52
air quality,0.46,0.39,0.37,0.37,0.39,0.23,0.21,0.47,0.44,0.45
carbon,0.21,0.28,0.17,0.17,0.18,0.14,0.13,0.3,0.29,0.25
