,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
road traffic noise,0.38,0.41,0.4,0.45,0.32,0.29,0.43,0.34,0.19,0.33
urban form indicator,0.49,0.66,0.66,0.63,0.61,0.47,0.67,0.62,0.36,0.68
interface network,0.33,0.29,0.38,0.34,0.21,0.34,0.39,0.28,0.1,0.4
interface network connectivity,0.29,0.31,0.41,0.33,0.23,0.36,0.43,0.28,0.12,0.45
classical urban design,0.45,0.58,0.6,0.59,0.51,0.41,0.66,0.52,0.2,0.69
housing estate,0.42,0.51,0.33,0.53,0.41,0.14,0.43,0.4,0.26,0.34
greenway suitability analysis,0.19,0.21,0.2,0.19,0.11,0.23,0.23,0.17,0.07,0.26
using network analysis,0.53,0.41,0.42,0.51,0.27,0.4,0.45,0.4,0.19,0.42
economic assessment using,0.51,0.47,0.46,0.52,0.42,0.44,0.45,0.49,0.39,0.4
assessment using machine,0.5,0.36,0.39,0.48,0.23,0.43,0.39,0.33,0.18,0.35
