,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
person detection method,0.46,0.31,0.32,0.38,0.19,0.43,0.35,0.37,0.18,0.31
freeway,0.16,0.16,0.16,0.21,0.13,0.04,0.19,0.12,0.01,0.14
task scheduling algorithm,0.2,0.19,0.2,0.17,0.1,0.33,0.23,0.18,0.08,0.24
sustainable smart city,0.46,0.6,0.51,0.57,0.48,0.29,0.54,0.51,0.31,0.48
urban data management,0.5,0.65,0.6,0.66,0.59,0.43,0.65,0.63,0.36,0.63
smart city application,0.5,0.5,0.45,0.55,0.31,0.32,0.49,0.37,0.14,0.42
urban freeway corridor,0.34,0.55,0.54,0.55,0.51,0.24,0.57,0.46,0.24,0.51
anomaly detection,0.15,0.08,0.21,0.11,0.08,0.31,0.2,0.19,0.11,0.18
person detection,0.38,0.26,0.29,0.31,0.17,0.36,0.3,0.35,0.17,0.25
freeway corridor,0.22,0.29,0.31,0.31,0.21,0.15,0.32,0.19,0.07,0.23
