,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
binary urban footprint,0.42,0.26,0.52,0.28,0.4,0.3,0.19,0.3,0.06,0.54
urban land expansion,0.75,0.32,0.63,0.21,0.8,0.37,0.38,0.15,0.11,0.87
building height,0.34,0.24,0.36,0.1,0.35,0.3,0.27,0.13,0.05,0.37
driving force,0.36,0.3,0.38,0.16,0.37,0.39,0.44,0.13,0.16,0.38
urban footprint,0.57,0.25,0.54,0.28,0.55,0.3,0.2,0.13,0.14,0.66
land price,0.41,0.29,0.44,0.1,0.6,0.34,0.37,0.09,0.1,0.62
expansion,0.48,0.19,0.34,0.09,0.36,0.25,0.3,0.19,-0.02,0.43
main driving force,0.42,0.34,0.45,0.18,0.44,0.43,0.44,0.18,0.16,0.43
body mass index,0.32,0.34,0.4,0.25,0.3,0.36,0.29,0.17,0.17,0.33
residential land price,0.51,0.28,0.51,0.1,0.63,0.34,0.34,0.12,0.07,0.69
