,signal,positioning,positioning accuracy,multipath,path loss,localization,positioning performance,receiver,reception,fingerprint
urban planning reform,0.17,0.15,0.14,-0.15,0.29,0.07,0.26,-0.0,0.16,-0.03
expert system,0.28,0.32,0.34,-0.09,0.25,0.1,0.41,0.16,0.09,0.24
urban information system,0.35,0.33,0.35,-0.07,0.33,0.11,0.44,0.15,0.16,0.19
heterogeneous expert knowledge,0.1,0.19,0.29,-0.06,0.12,0.21,0.27,0.08,0.07,0.23
democratic urban land,0.15,0.11,0.11,-0.16,0.33,-0.04,0.19,0.03,0.13,-0.1
expert system approach,0.33,0.35,0.4,-0.1,0.36,0.11,0.47,0.15,0.14,0.21
intelligent decision making,0.3,0.23,0.28,-0.14,0.38,0.04,0.42,0.11,0.14,0.1
mathematical programming,0.22,0.15,0.24,0.06,0.12,0.19,0.23,0.02,0.09,0.03
expert,0.08,0.08,0.16,-0.11,0.09,0.04,0.14,0.07,0.0,0.2
urban land dynamic,0.19,0.21,0.22,-0.04,0.32,0.1,0.32,0.12,0.09,-0.0
