,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
positive deviance,-0.02,0.09,-0.01,0.01,-0.01,0.03,0.13,-0.05,0.13,0.19
urban planning firm,0.45,0.52,-0.11,0.29,0.47,0.3,0.1,0.47,0.54,0.42
personality,0.08,0.19,-0.08,0.13,0.08,0.04,0.11,0.09,0.2,0.05
social media data,0.33,0.46,-0.16,0.3,0.37,0.32,0.13,0.27,0.5,0.45
tweet,-0.12,-0.08,0.02,-0.05,-0.15,-0.11,-0.05,-0.18,-0.06,-0.12
player,0.18,0.26,-0.13,0.18,0.2,0.14,0.08,0.22,0.28,0.17
input excerpt must,0.31,0.43,0.01,0.3,0.36,0.18,0.11,0.18,0.47,0.29
six possible personality,0.39,0.52,-0.12,0.38,0.39,0.22,0.16,0.36,0.53,0.35
possible personality class,0.32,0.47,-0.16,0.28,0.34,0.18,0.21,0.29,0.52,0.29
media data analysis,0.27,0.38,-0.14,0.26,0.36,0.28,0.17,0.22,0.44,0.42
