,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
land cover,0.83,1.0,0.14,0.9,0.04,0.87,0.76,0.23,0.09,0.3
land cover change,0.81,0.92,0.25,0.85,0.09,0.82,0.71,0.34,0.17,0.38
cropland,0.15,0.21,-0.03,0.18,-0.03,0.15,0.06,-0.05,-0.04,-0.19
cover,0.63,0.76,0.15,0.65,0.08,0.64,1.0,0.23,0.1,0.28
land cover map,0.78,0.88,0.23,0.81,0.11,0.89,0.65,0.35,0.16,0.31
annual,0.31,0.27,0.23,0.27,0.05,0.25,0.27,0.2,0.22,0.18
impervious surface,0.29,0.27,0.17,0.29,0.22,0.31,0.25,0.22,0.09,0.08
green area,0.51,0.55,0.14,0.61,0.1,0.48,0.4,0.24,0.09,0.34
land use change,0.71,0.76,0.36,0.74,0.16,0.72,0.43,0.36,0.24,0.43
annual growth rate,0.34,0.33,0.41,0.39,0.13,0.33,0.28,0.22,0.39,0.3
