,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
land use category,0.38,0.49,0.33,0.29,0.45,0.42,0.19,0.53,0.51,0.5
essential urban land,0.41,0.66,0.29,0.31,0.58,0.51,0.21,0.41,0.47,0.36
urban functional zone,0.4,0.66,0.38,0.41,0.6,0.33,0.2,0.42,0.46,0.39
urban land use,0.45,0.63,0.34,0.33,0.59,0.53,0.19,0.51,0.52,0.48
urban poverty,0.32,0.61,0.21,0.23,0.51,0.41,0.11,0.27,0.42,0.23
functional zone classification,0.29,0.47,0.34,0.36,0.41,0.14,0.23,0.4,0.44,0.43
urban functional area,0.43,0.67,0.39,0.43,0.66,0.43,0.23,0.45,0.45,0.39
identify urban poverty,0.34,0.62,0.28,0.28,0.52,0.4,0.17,0.4,0.49,0.33
poverty,0.19,0.36,0.1,0.12,0.2,0.26,0.07,0.19,0.39,0.18
urban functional,0.33,0.68,0.4,0.45,0.69,0.34,0.26,0.42,0.4,0.35
