,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
road traffic noise,0.32,0.32,0.23,0.41,0.16,0.35,0.2,0.21,0.19,0.33
urban form indicator,0.42,0.34,0.45,0.57,0.22,0.38,0.23,0.37,0.38,0.35
interface network,0.24,0.18,0.37,0.26,0.38,0.29,0.17,0.3,0.3,0.35
interface network connectivity,0.21,0.16,0.36,0.25,0.41,0.29,0.13,0.27,0.32,0.28
classical urban design,0.39,0.31,0.31,0.56,0.2,0.36,0.26,0.39,0.19,0.4
housing estate,0.38,0.46,0.13,0.55,-0.01,0.39,0.23,0.09,0.15,0.2
greenway suitability analysis,0.17,0.09,0.36,0.12,0.11,0.24,0.02,0.22,0.31,0.05
using network analysis,0.4,0.35,0.61,0.39,0.38,0.47,0.31,0.41,0.48,0.5
economic assessment using,0.43,0.38,0.53,0.43,0.21,0.46,0.3,0.39,0.45,0.45
assessment using machine,0.43,0.36,0.59,0.36,0.34,0.45,0.33,0.44,0.45,0.71
