,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
carbon emission,0.13,0.14,0.19,0.02,0.11,0.05,0.24,0.14,0.09,0.23
climate change mitigation,0.38,0.21,0.33,0.06,0.14,0.04,0.35,0.19,0.26,0.32
emission,0.12,0.09,0.13,-0.01,0.05,0.04,0.2,0.08,0.05,0.2
built environment factor,0.31,0.34,0.44,0.01,0.26,0.22,0.44,0.3,0.45,0.49
heterogeneous urban environment,0.33,0.23,0.28,0.08,0.12,0.25,0.83,0.17,0.3,0.42
climate,0.37,0.13,0.22,-0.03,0.08,0.04,0.32,0.09,0.24,0.31
urban data science,0.42,0.41,0.46,-0.0,0.27,0.27,0.77,0.34,0.46,0.39
air quality monitoring,0.18,0.31,0.43,-0.09,0.22,0.16,0.38,0.3,0.34,0.39
air quality,0.15,0.31,0.4,-0.1,0.24,0.17,0.31,0.3,0.34,0.33
carbon,0.12,0.17,0.21,0.04,0.14,0.05,0.23,0.16,0.12,0.22
