,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
smart urban environment,0.5,0.66,0.3,0.34,0.64,0.37,0.34,0.35,0.25,0.47
urban design problem,0.51,0.65,0.45,0.39,0.63,0.39,0.36,0.47,0.32,0.49
let spatial agent,0.26,0.29,0.21,0.3,0.17,0.31,0.22,0.3,0.28,0.28
game,0.09,0.24,0.17,0.27,0.08,0.24,0.25,0.29,0.19,0.21
interactive machine learning,0.26,0.24,0.26,0.28,0.2,0.18,0.21,0.31,0.24,0.22
urban aesthetic,0.51,0.57,0.29,0.18,0.64,0.22,0.24,0.24,0.16,0.37
aesthetic,0.22,0.13,0.2,0.06,0.22,0.05,0.06,0.1,0.05,0.11
present study aim,0.28,0.47,0.38,0.4,0.34,0.41,0.38,0.5,0.43,0.4
typical spatial behaviour,0.42,0.24,0.29,0.24,0.3,0.19,0.18,0.26,0.27,0.23
structured simple space,0.43,0.4,0.38,0.29,0.33,0.33,0.27,0.33,0.29,0.38
