,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
stream water quality,0.11,0.38,0.07,0.43,-0.07,0.18,0.33,0.33,0.31,0.42
carbon sequestration potential,0.12,0.24,0.04,0.29,-0.04,0.11,0.23,0.29,0.29,0.31
flood,-0.0,0.23,-0.05,0.22,-0.1,0.06,0.15,0.16,0.11,0.2
complexity science research,0.15,0.44,0.26,0.56,-0.16,0.09,0.29,0.35,0.41,0.56
automata,0.03,-0.08,0.02,-0.05,0.03,-0.1,0.0,-0.07,-0.04,-0.03
land use change,0.13,0.54,0.2,0.5,-0.06,0.28,0.47,0.53,0.52,0.44
mosquito,0.11,-0.0,-0.02,0.02,0.04,-0.04,0.06,0.03,0.03,0.02
analog,0.1,0.04,0.05,0.21,-0.01,0.13,0.31,0.09,0.08,0.25
cellular automata,0.08,0.08,0.07,0.13,0.02,0.02,0.11,0.07,0.11,0.15
urban land growth,0.12,0.69,0.09,0.46,-0.17,0.15,0.26,0.34,0.34,0.36
