,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
land cover classification,0.73,0.63,0.43,0.69,0.35,0.59,0.49,0.41,0.24,0.37
land cover,0.72,0.7,0.38,0.76,0.37,0.25,0.45,0.4,0.26,0.29
data weighting method,0.37,0.25,0.3,0.3,0.17,0.44,0.3,0.27,0.13,0.31
urban land cover,0.71,0.87,0.61,0.9,0.65,0.33,0.69,0.65,0.4,0.58
optical,0.17,0.1,0.19,0.13,0.01,0.22,0.21,0.08,-0.03,0.23
land cover mapping,0.68,0.68,0.44,0.72,0.36,0.36,0.52,0.43,0.25,0.39
cover,0.41,0.33,0.27,0.38,0.2,0.21,0.29,0.26,0.14,0.19
image classification,0.41,0.24,0.29,0.29,0.2,0.6,0.32,0.29,0.14,0.32
data weighting,0.26,0.17,0.25,0.19,0.14,0.36,0.22,0.21,0.1,0.24
eight machine learning,0.4,0.32,0.37,0.38,0.24,0.35,0.37,0.32,0.2,0.31
