,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
urban planning reform,0.46,0.58,-0.02,0.29,0.48,0.31,0.05,0.43,0.58,0.44
expert system,0.26,0.37,-0.15,0.17,0.34,0.18,0.14,0.29,0.48,0.27
urban information system,0.47,0.57,-0.04,0.33,0.53,0.25,0.22,0.46,0.63,0.41
heterogeneous expert knowledge,0.16,0.25,-0.05,0.12,0.24,0.05,0.19,0.17,0.34,0.13
democratic urban land,0.63,0.68,0.1,0.27,0.6,0.22,0.16,0.55,0.69,0.35
expert system approach,0.31,0.45,-0.15,0.22,0.38,0.2,0.17,0.35,0.57,0.31
intelligent decision making,0.35,0.5,-0.06,0.24,0.33,0.19,0.13,0.28,0.58,0.32
mathematical programming,0.1,0.17,-0.08,0.14,0.17,0.17,0.09,0.08,0.23,0.19
expert,0.08,0.15,-0.17,0.06,0.16,0.11,0.01,0.18,0.23,0.11
urban land dynamic,0.65,0.69,0.17,0.27,0.63,0.21,0.27,0.53,0.72,0.4
